Rk,Player,SO,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Player-additional
11,Spencer Strider,202,2022,23,ATL,NL,11,5,.688,16,2.67,31,20,0,0,0,131.2,86,42,39,7,45,1,202,3,0,6,528,154,1.83,0.995,5.9,0.5,3.1,13.8,4.49,1,stridsp01
12,Shane Bieber,198,2022,27,CLE,AL,13,8,.619,21,2.88,31,31,1,0,0,200.0,172,70,64,18,36,0,198,2,1,5,791,131,2.87,1.040,7.7,0.8,1.6,8.9,5.50,1,biebesh01
13,Yu Darvish,197,2022,35,SDP,NL,16,8,.667,24,3.10,30,30,0,0,0,194.2,148,67,67,22,37,0,197,12,1,4,771,122,3.31,0.950,6.8,1.0,1.7,9.1,5.32,1,darviyu01
14,Cristian Javier,194,2022,25,HOU,AL,11,9,.550,20,2.54,30,25,0,0,0,148.2,89,44,42,17,52,0,194,6,1,5,585,150,3.16,0.948,5.4,1.0,3.1,11.7,3.73,1,javiecr01
15,Shane McClanahan,194,2022,25,TBR,AL,12,8,.600,20,2.54,28,28,0,0,0,166.1,116,52,47,19,38,1,194,3,0,9,641,144,3.00,0.926,6.3,1.0,2.1,10.5,5.11,1,mcclash01
16,Framber Valdez,194,2022,28,HOU,AL,17,6,.739,23,2.82,31,31,3,1,0,201.1,166,71,63,11,67,0,194,11,1,11,827,135,3.06,1.157,7.4,0.5,3.0,8.7,2.90,1,valdefr01
17,Zac Gallen,192,2022,26,ARI,NL,12,4,.750,16,2.54,31,31,0,0,0,184.0,121,56,52,15,47,0,192,12,0,5,714,158,3.05,0.913,5.9,0.7,2.3,9.4,4.09,1,galleza01
18,Triston McKenzie,190,2022,24,CLE,AL,11,11,.500,22,2.96,31,30,0,0,0,191.1,138,65,63,25,44,0,190,5,0,8,741,127,3.59,0.951,6.5,1.2,2.1,8.9,4.32,1,mckentr01
19,Brandon Woodruff,190,2022,29,MIL,NL,13,4,.765,17,3.05,27,27,0,0,0,153.1,122,56,52,18,42,0,190,5,0,2,620,132,3.08,1.070,7.2,1.1,2.5,11.2,4.52,1,woodrbr01
20,Justin Verlander,185,2022,39,HOU,AL,18,4,.818,22,1.75,28,28,0,0,0,175.0,116,43,34,12,29,0,185,6,0,3,666,218,2.49,0.829,6.0,0.6,1.5,9.5,6.38,1,verlaju01
21,Joe Musgrove,184,2022,29,SDP,NL,10,7,.588,17,2.93,30,30,0,0,0,181.0,154,67,59,22,42,1,184,14,0,4,740,129,3.59,1.083,7.7,1.1,2.1,9.1,4.38,1,musgrjo01
22,Alek Manoah,180,2022,24,TOR,AL,16,7,.696,23,2.24,31,31,0,0,0,196.2,144,55,49,16,51,0,180,15,0,5,786,172,3.35,0.992,6.6,0.7,2.3,8.2,3.53,1,manoaal01
23,Lucas Giolito,177,2022,27,CHW,AL,11,9,.550,20,4.90,30,30,0,0,0,161.2,171,92,88,24,61,1,177,4,0,3,698,81,4.06,1.435,9.5,1.3,3.4,9.9,2.90,1,giolilu01
24,Merrill Kelly,177,2022,33,ARI,NL,13,8,.619,21,3.37,33,33,0,0,0,200.1,167,77,75,21,61,2,177,2,1,4,804,119,3.65,1.138,7.5,0.9,2.7,8.0,2.90,1,kellyme01
25,Nick Pivetta,175,2022,29,BOS,AL,10,12,.455,22,4.56,33,33,1,0,0,179.2,175,91,91,27,73,0,175,5,1,10,773,92,4.42,1.380,8.8,1.4,3.7,8.8,2.40,1,pivetni01
26,Logan Gilbert,174,2022,25,SEA,AL,13,6,.684,19,3.20,32,32,0,0,0,185.2,170,71,66,19,49,2,174,6,0,5,766,116,3.46,1.180,8.2,0.9,2.4,8.4,3.55,1,gilbelo01
27,Pablo López,174,2022,26,MIA,NL,10,10,.500,20,3.75,32,32,0,0,0,180.0,157,78,75,21,53,1,174,8,0,4,736,109,3.71,1.167,7.9,1.1,2.7,8.7,3.28,1,lopezpa01
28,Kyle Wright,174,2022,26,ATL,NL,21,5,.808,26,3.19,30,30,0,0,0,180.1,156,67,64,19,53,0,174,9,0,7,738,128,3.58,1.159,7.8,0.9,2.6,8.7,3.28,1,wrighky01
29,Max Scherzer,173,2022,37,NYM,NL,11,5,.688,16,2.29,23,23,0,0,0,145.1,108,39,37,13,24,0,173,11,0,1,565,169,2.62,0.908,6.7,0.8,1.5,10.7,7.21,1,scherma01
30,Blake Snell,171,2022,29,SDP,NL,8,10,.444,18,3.38,24,24,0,0,0,128.0,103,51,48,11,51,0,171,2,0,6,535,112,2.80,1.203,7.2,0.8,3.6,12.0,3.35,1,snellbl01
31,Max Fried,170,2022,28,ATL,NL,14,7,.667,21,2.48,30,30,0,0,0,185.1,156,55,51,12,32,2,170,4,0,9,733,166,2.70,1.014,7.6,0.6,1.6,8.3,5.31,1,friedma01
32,Martín Pérez,169,2022,31,TEX,AL,12,8,.600,20,2.89,32,32,1,1,0,196.1,178,70,63,11,69,0,169,6,2,6,821,137,3.26,1.258,8.2,0.5,3.2,7.7,2.45,1,perezma02
33,Chris Bassitt,167,2022,33,NYM,NL,15,9,.625,24,3.42,30,30,0,0,0,181.2,159,71,69,19,49,0,167,13,1,5,745,113,3.66,1.145,7.9,0.9,2.4,8.3,3.41,1,bassich01
34,Luis Castillo,167,2022,29,CINSEA,ALNL,8,6,.571,14,2.99,25,25,0,0,0,150.1,118,56,50,13,45,0,167,8,1,0,615,136,3.07,1.084,7.1,0.8,2.7,10.0,3.71,1,castilu02
35,Julio Urías,166,2022,25,LAD,NL,17,7,.708,24,2.16,31,31,0,0,0,175.0,127,51,42,23,41,0,166,5,1,0,689,186,3.71,0.960,6.5,1.2,2.1,8.5,4.05,1,uriasju01
36,Hunter Greene,164,2022,22,CIN,NL,5,13,.278,18,4.44,24,24,1,1,0,125.2,104,64,62,24,48,0,164,10,0,4,531,98,4.37,1.210,7.4,1.7,3.4,11.7,3.42,1,greenhu01
37,Nestor Cortes,163,2022,27,NYY,AL,12,4,.750,16,2.44,28,28,1,1,0,158.1,108,44,43,16,38,0,163,2,0,1,615,161,3.12,0.922,6.1,0.9,2.2,9.3,4.29,1,cortene01
38,Logan Webb,163,2022,25,SFG,NL,15,9,.625,24,2.90,32,32,0,0,0,192.1,174,76,62,11,49,0,163,7,0,6,787,136,3.03,1.159,8.1,0.5,2.3,7.6,3.33,1,webblo01
39,Zack Wheeler,163,2022,32,PHI,NL,12,7,.632,19,2.82,26,26,0,0,0,153.0,125,52,48,13,34,1,163,7,1,1,607,141,2.89,1.039,7.4,0.8,2.0,9.6,4.79,1,wheelza01
40,Jordan Montgomery,158,2022,29,NYYSTL,ALNL,9,6,.600,15,3.48,32,32,1,1,0,178.1,159,72,69,21,36,0,158,8,0,4,724,113,3.61,1.093,8.0,1.1,1.8,8.0,4.39,1,montgjo01
41,Luis Garcia,157,2022,25,HOU,AL,15,8,.652,23,3.72,28,28,0,0,0,157.1,131,70,65,23,47,0,157,1,1,8,643,103,3.93,1.131,7.5,1.3,2.7,9.0,3.34,1,garcilu05
42,Eric Lauer,157,2022,27,MIL,NL,11,7,.611,18,3.69,29,29,0,0,0,158.2,135,71,65,27,59,0,157,2,2,5,661,109,4.50,1.223,7.7,1.5,3.3,8.9,2.66,1,lauerer01
43,Sean Manaea,156,2022,30,SDP,NL,8,9,.471,17,4.96,30,28,0,0,0,158.0,155,95,87,29,50,1,156,3,0,0,671,76,4.53,1.297,8.8,1.7,2.8,8.9,3.12,1,manaese01
44,Josiah Gray,154,2022,24,WSN,NL,7,10,.412,17,5.02,28,28,0,0,0,148.2,136,84,83,38,66,1,154,8,0,7,649,78,5.86,1.359,8.2,2.3,4.0,9.3,2.33,1,grayjo03
45,Miles Mikolas,153,2022,33,STL,NL,12,13,.480,25,3.29,33,32,1,0,0,202.1,170,81,74,25,39,0,153,6,1,1,805,118,3.87,1.033,7.6,1.1,1.7,6.8,3.92,1,mikolmi01
46,Carlos Carrasco,152,2022,35,NYM,NL,15,7,.682,22,3.97,29,29,0,0,0,152.0,161,71,67,17,41,2,152,8,0,5,645,97,3.53,1.329,9.5,1.0,2.4,9.0,3.71,1,carraca01
47,Alex Cobb,151,2022,34,SFG,NL,7,8,.467,15,3.73,28,28,0,0,0,149.2,152,72,62,9,43,0,151,3,1,4,631,106,2.80,1.303,9.1,0.5,2.6,9.1,3.51,1,cobbal01
48,Joe Ryan,151,2022,26,MIN,AL,13,8,.619,21,3.55,27,27,0,0,0,147.0,115,60,58,20,47,0,151,10,0,2,604,110,3.99,1.102,7.0,1.2,2.9,9.2,3.21,1,ryanjo04
49,Patrick Sandoval,151,2022,25,LAA,AL,6,9,.400,15,2.91,27,27,1,1,0,148.2,139,56,48,8,60,0,151,5,0,6,638,138,3.09,1.339,8.4,0.5,3.6,9.1,2.52,1,sandopa02
50,Jameson Taillon,151,2022,30,NYY,AL,14,5,.737,19,3.91,32,32,0,0,0,177.1,168,78,77,26,32,0,151,5,0,3,728,101,3.94,1.128,8.5,1.3,1.6,7.7,4.72,1,taillja01
51,Germán Márquez,150,2022,27,COL,NL,9,13,.409,22,4.95,31,31,0,0,0,181.2,185,109,100,30,63,0,150,4,2,8,779,93,4.71,1.365,9.2,1.5,3.1,7.4,2.38,1,marquge01
52,Brady Singer,150,2022,25,KCR,AL,10,5,.667,15,3.23,27,24,0,0,0,153.1,140,58,55,18,35,0,150,11,1,3,621,127,3.58,1.141,8.2,1.1,2.1,8.8,4.29,1,singebr01
53,José Berríos,149,2022,28,TOR,AL,12,7,.632,19,5.23,32,32,0,0,0,172.0,199,103,100,29,45,0,149,11,0,3,753,74,4.55,1.419,10.4,1.5,2.4,7.8,3.31,1,berrijo01
54,JT Brubaker,147,2022,28,PIT,NL,3,12,.200,15,4.69,28,28,0,0,0,144.0,157,85,75,17,54,0,147,9,2,6,646,87,3.92,1.465,9.8,1.1,3.4,9.2,2.72,1,brubajt01
55,Kyle Gibson,144,2022,34,PHI,NL,10,8,.556,18,5.05,31,31,0,0,0,167.2,176,98,94,24,48,0,144,9,0,4,718,79,4.28,1.336,9.4,1.3,2.6,7.7,3.00,1,gibsoky01
56,Jordan Lyles,144,2022,31,BAL,AL,12,11,.522,23,4.42,32,32,1,0,0,179.0,196,94,88,26,52,0,144,8,0,5,774,88,4.40,1.385,9.9,1.3,2.6,7.2,2.77,1,lylesjo01
57,Jeffrey Springs,144,2022,29,TBR,AL,9,5,.643,14,2.46,33,25,0,0,0,135.1,114,42,37,14,31,0,144,1,1,1,549,149,3.04,1.071,7.6,0.9,2.1,9.6,4.65,1,sprinje01
58,Adam Wainwright,143,2022,40,STL,NL,11,12,.478,23,3.71,32,32,1,0,0,191.2,192,80,79,16,54,1,143,7,0,5,803,105,3.66,1.283,9.0,0.8,2.5,6.7,2.65,1,wainwad01
59,Frankie Montas,142,2022,29,NYYOAK,AL,5,12,.294,17,4.05,27,27,0,0,0,144.1,137,72,65,18,43,3,142,6,0,7,608,93,3.78,1.247,8.5,1.1,2.7,8.9,3.30,1,montafr02
60,Corey Kluber,139,2022,36,TBR,AL,10,10,.500,20,4.34,31,31,0,0,0,164.0,178,82,79,20,21,0,139,10,0,2,689,84,3.57,1.213,9.8,1.1,1.2,7.6,6.62,1,klubeco01
61,Tyler Anderson,138,2022,32,LAD,NL,15,5,.750,20,2.57,30,28,0,0,0,178.2,145,57,51,14,34,0,138,9,0,6,707,157,3.31,1.002,7.3,0.7,1.7,7.0,4.06,1/H,anderty01
62,Mitch Keller,138,2022,26,PIT,NL,5,12,.294,17,3.91,31,29,0,0,0,159.0,162,77,69,14,60,1,138,12,1,2,687,104,3.88,1.396,9.2,0.8,3.4,7.8,2.30,1,kellemi03
63,Dane Dunning,137,2022,27,TEX,AL,4,8,.333,12,4.46,29,29,0,0,0,153.1,158,80,76,20,62,0,137,11,0,6,671,89,4.45,1.435,9.3,1.2,3.6,8.0,2.21,1,dunnida01
64,Clayton Kershaw,137,2022,34,LAD,NL,12,3,.800,15,2.28,22,22,0,0,0,126.1,96,36,32,10,23,0,137,2,1,0,493,177,2.57,0.942,6.8,0.7,1.6,9.8,5.96,1,kershcl01
65,Jose Quintana,137,2022,33,PITSTL,NL,6,7,.462,13,2.93,32,32,0,0,0,165.2,154,61,54,8,47,1,137,3,0,1,679,137,2.99,1.213,8.4,0.4,2.6,7.4,2.91,1,quintjo01
66,Jon Gray,134,2022,30,TEX,AL,7,7,.500,14,3.96,24,24,0,0,0,127.1,105,61,56,17,39,0,134,6,2,4,521,100,3.80,1.131,7.4,1.2,2.8,9.5,3.44,1,grayjo02
67,José Urquidy,134,2022,27,HOU,AL,13,8,.619,21,3.94,29,28,0,0,0,164.1,154,74,72,29,38,0,134,7,0,5,681,97,4.60,1.168,8.4,1.6,2.1,7.3,3.53,1,urquijo01
68,George Kirby,133,2022,24,SEA,AL,8,5,.615,13,3.39,25,25,0,0,0,130.0,135,54,49,13,22,0,133,5,0,4,542,109,2.99,1.208,9.3,0.9,1.5,9.2,6.05,1,kirbyge01
69,Taijuan Walker,132,2022,29,NYM,NL,12,5,.706,17,3.49,29,29,0,0,0,157.1,143,63,61,15,45,1,132,6,0,0,649,111,3.65,1.195,8.2,0.9,2.6,7.6,2.93,1,walketa01
70,Kyle Freeland,131,2022,29,COL,NL,9,11,.450,20,4.53,31,31,0,0,0,174.2,193,96,88,19,53,0,131,16,0,4,766,102,4.21,1.408,9.9,1.0,2.7,6.8,2.47,1,freelky01
71,Nick Lodolo,131,2022,24,CIN,NL,4,7,.364,11,3.66,19,19,0,0,0,103.1,90,44,42,13,39,0,131,19,0,6,441,119,3.90,1.248,7.8,1.1,3.4,11.4,3.36,1,lodolni01
72,Alex Wood,131,2022,31,SFG,NL,8,12,.400,20,5.10,26,26,0,0,0,130.2,132,78,74,17,30,1,131,12,0,4,555,77,3.76,1.240,9.1,1.2,2.1,9.0,4.37,1,woodal02
73,Ranger Suárez,129,2022,26,PHI,NL,10,7,.588,17,3.65,29,29,0,0,0,155.1,149,74,63,15,58,0,129,2,2,4,662,109,3.87,1.333,8.6,0.9,3.4,7.5,2.22,1,suarera01
74,Patrick Corbin,128,2022,32,WSN,NL,6,19,.240,25,6.31,31,31,1,0,0,152.2,210,119,107,27,49,1,128,7,0,2,713,62,4.83,1.697,12.4,1.6,2.9,7.5,2.61,1,corbipa01
75,Cole Irvin,128,2022,28,OAK,AL,9,13,.409,22,3.98,30,30,0,0,0,181.0,174,87,80,25,36,3,128,7,0,3,741,93,4.21,1.160,8.7,1.2,1.8,6.4,3.56,1,irvinco01
76,Cal Quantrill,128,2022,27,CLE,AL,15,5,.750,20,3.38,32,32,0,0,0,186.1,178,78,70,21,47,0,128,10,0,3,770,112,4.12,1.208,8.6,1.0,2.3,6.2,2.72,1,quantca01
77,Aaron Ashby,126,2022,24,MIL,NL,2,10,.167,12,4.44,27,19,0,0,1,107.1,106,62,53,15,47,0,126,6,1,7,475,91,4.06,1.425,8.9,1.3,3.9,10.6,2.68,1,ashbyaa01
78,Tyler Mahle,126,2022,27,CINMIN,ALNL,6,8,.429,14,4.40,23,23,0,0,0,120.2,104,61,59,16,43,0,126,2,1,3,503,98,3.87,1.218,7.8,1.2,3.2,9.4,2.93,1,mahlety01
79,David Peterson,126,2022,26,NYM,NL,7,5,.583,12,3.83,28,19,0,0,0,105.2,93,50,45,11,48,1,126,7,0,3,454,101,3.64,1.334,7.9,0.9,4.1,10.7,2.63,1,peterda01
80,Justin Steele,126,2022,26,CHC,NL,4,7,.364,11,3.18,24,24,0,0,0,119.0,111,53,42,8,50,0,126,3,1,4,512,132,3.20,1.353,8.4,0.6,3.8,9.5,2.52,1,steelju01
81,Drew Rasmussen,125,2022,26,TBR,AL,11,7,.611,18,2.84,28,28,0,0,0,146.0,121,51,46,13,31,0,125,3,0,10,584,129,3.26,1.041,7.5,0.8,1.9,7.7,4.03,1,rasmudr01
82,Yusei Kikuchi,124,2022,31,TOR,AL,6,7,.462,13,5.19,32,20,0,0,1,100.2,93,67,58,23,58,0,124,9,0,3,454,74,5.62,1.500,8.3,2.1,5.2,11.1,2.14,1,kikucyu01
83,Lance Lynn,124,2022,35,CHW,AL,8,7,.533,15,3.99,21,21,0,0,0,121.2,119,65,54,19,19,0,124,10,0,4,512,99,3.82,1.134,8.8,1.4,1.4,9.2,6.53,1,lynnla01
84,Reid Detmers,122,2022,22,LAA,AL,7,6,.538,13,3.77,25,25,1,1,0,129.0,110,56,54,13,46,1,122,8,0,2,539,106,3.79,1.209,7.7,0.9,3.2,8.5,2.65,1,detmere01
85,Daniel Lynch IV,122,2022,25,KCR,AL,4,13,.235,17,5.13,27,27,0,0,0,131.2,155,79,75,21,52,2,122,5,2,7,600,80,4.63,1.572,10.6,1.4,3.6,8.3,2.35,1,lynchda02
86,Jesús Luzardo,120,2022,24,MIA,NL,4,7,.364,11,3.32,18,18,0,0,0,100.1,69,40,37,10,35,0,120,2,0,5,400,124,3.12,1.037,6.2,0.9,3.1,10.8,3.43,1,luzarje01
87,Tony Gonsolin,119,2022,28,LAD,NL,16,1,.941,17,2.14,24,24,0,0,0,130.1,79,32,31,11,35,1,119,4,0,5,498,188,3.28,0.875,5.5,0.8,2.4,8.2,3.40,1,gonsoto01
88,Marcus Stroman,119,2022,31,CHC,NL,6,7,.462,13,3.50,25,25,0,0,0,138.2,123,61,54,16,36,0,119,4,2,2,569,119,3.76,1.147,8.0,1.0,2.3,7.7,3.31,1,stromma01
89,Edwin Díaz,118,2022,28,NYM,NL,3,1,.750,4,1.31,61,0,0,0,32,62.0,34,9,9,3,18,1,118,2,0,2,235,297,0.90,0.839,4.9,0.4,2.6,17.1,6.56,1,diazed04
90,Sonny Gray,117,2022,32,MIN,AL,8,5,.615,13,3.08,24,24,0,0,0,119.2,99,44,41,11,36,0,117,6,0,3,488,126,3.40,1.128,7.4,0.8,2.7,8.8,3.25,1,grayso01
91,Tarik Skubal,117,2022,25,DET,AL,7,8,.467,15,3.52,21,21,0,0,0,117.2,104,53,46,9,32,0,117,1,0,1,477,111,2.96,1.156,8.0,0.7,2.4,8.9,3.66,1,skubata01
92,Madison Bumgarner,112,2022,32,ARI,NL,7,15,.318,22,4.88,30,30,0,0,0,158.2,179,97,86,25,49,0,112,9,0,2,698,82,4.85,1.437,10.2,1.4,2.8,6.4,2.29,1,bumgama01
93,Luis Severino,112,2022,28,NYY,AL,7,3,.700,10,3.18,19,19,0,0,0,102.0,72,37,36,14,30,0,112,4,0,1,405,124,3.70,1.000,6.4,1.2,2.6,9.9,3.73,1,severlu01
94,Kyle Bradish,111,2022,25,BAL,AL,4,7,.364,11,4.90,23,23,0,0,0,117.2,119,68,64,17,46,0,111,7,0,7,509,80,4.45,1.402,9.1,1.3,3.5,8.5,2.41,1,bradiky01
95,Ross Stripling,111,2022,32,TOR,AL,10,4,.714,14,3.01,32,24,0,0,1,134.1,117,49,45,12,20,0,111,2,0,0,536,128,3.11,1.020,7.8,0.8,1.3,7.4,5.55,1,stripro01
96,Kris Bubic,110,2022,24,KCR,AL,3,13,.188,16,5.58,28,27,0,0,0,129.0,156,87,80,18,63,0,110,4,1,4,587,73,4.78,1.698,10.9,1.3,4.4,7.7,1.75,1,bubickr01
97,Andrew Heaney,110,2022,31,LAD,NL,4,4,.500,8,3.10,16,14,0,0,0,72.2,60,34,25,14,19,0,110,9,0,0,310,130,3.75,1.087,7.4,1.7,2.4,13.6,5.79,1,heanean01
98,Chad Kuhl,110,2022,29,COL,NL,6,11,.353,17,5.72,27,27,1,1,0,137.0,155,91,87,25,58,1,110,5,0,5,617,81,5.26,1.555,10.2,1.6,3.8,7.2,1.90,1,kuhlch01
99,Rich Hill,109,2022,42,BOS,AL,8,7,.533,15,4.27,26,26,0,0,0,124.1,125,67,59,15,37,0,109,4,2,0,526,98,3.92,1.303,9.0,1.1,2.7,7.9,2.95,1,hillri01
100,Keegan Thompson,108,2022,27,CHC,NL,10,5,.667,15,3.76,29,17,0,0,1,115.0,103,54,48,16,43,0,108,9,0,5,485,111,4.40,1.270,8.1,1.3,3.4,8.5,2.51,1,thompke02
101,Glenn Otto,107,2022,26,TEX,AL,7,10,.412,17,4.64,27,27,0,0,0,135.2,119,74,70,21,62,0,107,13,0,5,587,86,5.21,1.334,7.9,1.4,4.1,7.1,1.73,1,ottogl01
102,Trevor Rogers,106,2022,24,MIA,NL,4,11,.267,15,5.47,23,23,0,0,0,107.0,116,69,65,15,45,0,106,5,0,5,477,75,4.35,1.505,9.8,1.3,3.8,8.9,2.36,1,rogertr01
103,Michael Kopech,105,2022,26,CHW,AL,5,9,.357,14,3.54,25,25,0,0,0,119.1,85,53,47,15,57,0,105,3,2,2,494,112,4.49,1.190,6.4,1.1,4.3,7.9,1.84,1,kopecmi01
104,Michael Wacha,104,2022,30,BOS,AL,11,2,.846,13,3.32,23,23,1,1,0,127.1,111,49,47,18,31,0,104,4,0,4,515,127,4.14,1.115,7.8,1.3,2.2,7.4,3.35,1,wachami01
105,Nathan Eovaldi,103,2022,32,BOS,AL,6,3,.667,9,3.87,20,20,2,1,0,109.1,115,55,47,21,20,0,103,1,0,2,460,109,4.30,1.235,9.5,1.7,1.6,8.5,5.15,1,eovalna01
106,Marco Gonzales,103,2022,30,SEA,AL,10,15,.400,25,4.13,32,32,0,0,0,183.0,194,97,84,30,50,1,103,7,0,1,783,90,5.05,1.333,9.5,1.5,2.5,5.1,2.06,1,gonzama02
107,José Suarez,103,2022,24,LAA,AL,8,8,.500,16,3.96,22,20,0,0,0,109.0,103,49,48,14,33,2,103,4,0,1,462,101,3.91,1.248,8.5,1.2,2.7,8.5,3.12,1,suarejo01
108,Johnny Cueto,102,2022,36,CHW,AL,8,10,.444,18,3.35,25,24,1,0,0,158.1,161,66,59,15,33,2,102,6,1,2,651,118,3.79,1.225,9.2,0.9,1.9,5.8,3.09,1,cuetojo01
109,Zach Davies,102,2022,29,ARI,NL,2,5,.286,7,4.09,27,27,0,0,0,134.1,122,66,61,21,52,0,102,2,0,1,570,98,4.83,1.295,8.2,1.4,3.5,6.8,1.96,1,davieza02
110,Jacob deGrom,102,2022,34,NYM,NL,5,4,.556,9,3.08,11,11,0,0,0,64.1,40,22,22,9,8,0,102,0,0,0,239,126,2.13,0.746,5.6,1.3,1.1,14.3,12.75,1,degroja01
111,Brad Keller,102,2022,26,KCR,AL,6,14,.300,20,5.09,35,22,0,0,1,139.2,153,86,79,17,57,1,102,2,0,11,617,80,4.50,1.504,9.9,1.1,3.7,6.6,1.79,1,kellebr01
112,Zach Plesac,100,2022,27,CLE,AL,3,12,.200,15,4.31,25,24,0,0,0,131.2,136,74,63,19,38,0,100,5,0,4,568,88,4.45,1.322,9.3,1.3,2.6,6.8,2.63,1,plesaza01
113,Aaron Civale,98,2022,27,CLE,AL,5,6,.455,11,4.92,20,20,0,0,0,97.0,93,58,53,14,22,1,98,7,0,1,407,77,3.86,1.186,8.6,1.3,2.0,9.1,4.45,1,civalaa01
114,Jakob Junis,98,2022,29,SFG,NL,5,7,.417,12,4.42,23,17,0,0,0,112.0,120,57,55,13,25,0,98,4,0,1,478,89,3.65,1.295,9.6,1.0,2.0,7.9,3.92,1,junisja01
115,James Kaprielian,98,2022,28,OAK,AL,5,9,.357,14,4.23,26,26,0,0,0,134.0,121,68,63,16,59,0,98,5,0,2,577,87,4.63,1.343,8.1,1.1,4.0,6.6,1.66,1/DH,kaprija01
116,Ian Anderson,97,2022,24,ATL,NL,10,6,.625,16,5.00,22,22,0,0,0,111.2,115,63,62,12,54,0,97,1,0,4,493,82,4.25,1.513,9.3,1.0,4.4,7.8,1.80,1,anderia01
117,Taylor Hearn,97,2022,27,TEX,AL,6,8,.429,14,5.13,31,13,0,0,1,100.0,107,60,57,11,43,0,97,3,0,3,449,78,3.98,1.500,9.6,1.0,3.9,8.7,2.26,1,hearnta01
118,Andrés Muñoz,96,2022,23,SEA,AL,2,5,.286,7,2.49,64,0,0,0,4,65.0,43,20,18,5,15,3,96,4,0,4,248,149,2.04,0.892,6.0,0.7,2.1,13.3,6.40,1,munozan01
119,Devin Williams,96,2022,27,MIL,NL,6,4,.600,10,1.93,65,0,0,0,15,60.2,31,17,13,2,30,1,96,3,0,5,240,209,2.01,1.005,4.6,0.3,4.5,14.2,3.20,1,willide03
120,Chris Flexen,95,2022,27,SEA,AL,8,9,.471,17,3.73,33,22,0,0,2,137.2,132,61,57,17,51,3,95,2,0,7,590,99,4.49,1.329,8.6,1.1,3.3,6.2,1.86,1,flexech01
121,Austin Gomber,95,2022,28,COL,NL,5,7,.417,12,5.56,33,17,0,0,0,124.2,137,80,77,20,34,1,95,2,0,4,529,83,4.54,1.372,9.9,1.4,2.5,6.9,2.79,1,gombeau01
122,Nick Martinez,95,2022,31,SDP,NL,4,4,.500,8,3.47,47,10,0,0,8,106.1,96,44,41,15,41,0,95,4,0,4,448,109,4.43,1.288,8.1,1.3,3.5,8.0,2.32,1,martini01
123,Noah Syndergaard,95,2022,29,LAAPHI,ALNL,10,10,.500,20,3.94,25,24,1,0,0,134.2,138,62,59,14,31,0,95,4,0,1,565,102,3.83,1.255,9.2,0.9,2.1,6.3,3.06,1,syndeno01
