Rk,Player,SO,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Player-additional
1,Gerrit Cole,257,2022,31,NYY,AL,13,8,.619,21,3.50,33,33,0,0,0,200.2,154,81,78,33,50,0,257,2,2,2,793,112,3.47,1.017,6.9,1.5,2.2,11.5,5.14,1,colege01
2,Corbin Burnes,243,2022,27,MIL,NL,12,8,.600,20,2.94,33,33,0,0,0,202.0,144,73,66,23,51,0,243,13,0,10,797,137,3.14,0.965,6.4,1.0,2.3,10.8,4.76,1,burneco01
3,Carlos Rodón,237,2022,29,SFG,NL,14,8,.636,22,2.88,31,31,1,0,0,178.0,131,59,57,12,52,0,237,3,0,10,710,137,2.25,1.028,6.6,0.6,2.6,12.0,4.56,1,rodonca01
4,Aaron Nola,235,2022,29,PHI,NL,11,13,.458,24,3.25,32,32,2,1,0,205.0,168,75,74,19,29,1,235,9,0,2,807,123,2.58,0.961,7.4,0.8,1.3,10.3,8.10,1,nolaaa01
5,Dylan Cease,227,2022,26,CHW,AL,14,8,.636,22,2.20,32,32,1,1,0,184.0,126,55,45,16,78,2,227,3,1,7,747,180,3.10,1.109,6.2,0.8,3.8,11.1,2.91,1,ceasedy01
6,Shohei Ohtani,219,2022,27,LAA,AL,15,9,.625,24,2.33,28,28,0,0,0,166.0,124,45,43,14,44,0,219,2,0,14,660,172,2.40,1.012,6.7,0.8,2.4,11.9,4.98,*D1/H,ohtansh01
7,Robbie Ray,212,2022,30,SEA,AL,12,12,.500,24,3.71,32,32,0,0,0,189.0,163,80,78,32,62,0,212,7,0,5,775,100,4.16,1.190,7.8,1.5,3.0,10.1,3.42,1,rayro02
8,Sandy Alcantara,207,2022,26,MIA,NL,14,9,.609,23,2.28,32,32,6,1,0,228.2,174,67,58,16,50,1,207,9,0,3,886,180,2.99,0.980,6.8,0.6,2.0,8.1,4.14,1,alcansa01
9,Kevin Gausman,205,2022,31,TOR,AL,12,10,.545,22,3.35,31,31,0,0,0,174.2,188,72,65,15,28,0,205,1,2,2,725,115,2.38,1.237,9.7,0.8,1.4,10.6,7.32,1,gausmke01
10,Charlie Morton,205,2022,38,ATL,NL,9,6,.600,15,4.34,31,31,0,0,0,172.0,149,85,83,28,63,0,205,18,0,4,728,94,4.26,1.233,7.8,1.5,3.3,10.7,3.25,1,mortoch02
