Rk,Player,SO,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Player-additional
1,Tarik Skubal,228,2024,27,DET,AL,18,4,.818,22,2.39,31,31,0,0,0,192.0,142,54,51,15,35,0,228,9,0,2,753,174,2.49,0.922,6.7,0.7,1.6,10.7,6.51,1,skubata01
2,Chris Sale,225,2024,35,ATL,NL,18,3,.857,21,2.38,29,29,0,0,0,177.2,141,48,47,9,39,0,225,8,1,4,702,174,2.09,1.013,7.1,0.5,2.0,11.4,5.77,1,salech01
3,Dylan Cease,224,2024,28,SDP,NL,14,11,.560,25,3.47,33,33,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,118,3.10,1.067,6.5,0.9,3.1,10.6,3.45,1,ceasedy01
4,Zack Wheeler,224,2024,34,PHI,NL,16,7,.696,23,2.57,32,32,0,0,0,200.0,139,62,57,20,52,0,224,8,0,8,787,163,3.13,0.955,6.3,0.9,2.3,10.1,4.31,1,wheelza01
5,Cole Ragans,223,2024,26,KCR,AL,11,9,.550,20,3.14,32,32,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,131,2.99,1.143,7.1,0.7,3.2,10.8,3.33,1,raganco01
6,Logan Gilbert,220,2024,27,SEA,AL,9,12,.429,21,3.23,33,33,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,115,3.27,0.887,6.4,1.1,1.6,9.5,5.95,1,gilbelo01
7,Garrett Crochet,209,2024,25,CHW,AL,6,12,.333,18,3.58,32,32,0,0,0,146.0,123,61,58,18,33,0,209,5,1,3,595,115,2.69,1.068,7.6,1.1,2.0,12.9,6.33,1,crochga01
8,Yusei Kikuchi,206,2024,33,HOUTOR,AL,9,10,.474,19,4.05,32,32,0,0,0,175.2,167,85,79,25,44,0,206,2,0,4,736,101,3.46,1.201,8.6,1.3,2.3,10.6,4.68,1,kikucyu01
9,Sonny Gray,203,2024,34,STL,NL,13,9,.591,22,3.84,28,28,0,0,0,166.1,142,79,71,21,39,0,203,3,1,7,671,107,3.12,1.088,7.7,1.1,2.1,11.0,5.21,1,grayso01
10,Michael King,201,2024,29,SDP,NL,13,9,.591,22,2.95,31,30,0,0,0,173.2,144,71,57,17,63,2,201,7,0,1,726,139,3.33,1.192,7.5,0.9,3.3,10.4,3.19,1,kingmi01
11,Freddy Peralta,200,2024,28,MIL,NL,11,9,.550,20,3.68,32,32,0,0,0,173.2,143,74,71,26,68,0,200,10,1,8,725,113,4.16,1.215,7.4,1.3,3.5,10.4,2.94,1,peralfr01
12,Pablo López,198,2024,28,MIN,AL,15,10,.600,25,4.08,32,32,0,0,0,185.1,180,90,84,26,41,0,198,8,0,3,772,103,3.65,1.192,8.7,1.3,2.0,9.6,4.83,1,lopezpa01
13,Aaron Nola,197,2024,31,PHI,NL,14,8,.636,22,3.57,33,33,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,117,3.94,1.199,8.5,1.4,2.3,8.9,3.94,1,nolaaa01
14,Carlos Rodón,195,2024,31,NYY,AL,16,9,.640,25,3.96,32,32,0,0,0,175.0,157,81,77,31,57,0,195,10,2,3,736,102,4.39,1.223,8.1,1.6,2.9,10.0,3.42,1,rodonca01
15,Jack Flaherty,194,2024,28,DETLAD,ALNL,13,7,.650,20,3.17,28,28,0,0,0,162.0,135,61,57,24,38,0,194,4,0,6,649,130,3.47,1.068,7.5,1.3,2.1,10.8,5.11,1,flaheja01
16,Bailey Ober,191,2024,28,MIN,AL,12,9,.571,21,3.98,31,31,1,0,0,178.2,136,81,79,27,43,0,191,6,0,1,709,105,3.82,1.002,6.9,1.4,2.2,9.6,4.44,1,oberba01
17,Tanner Bibee,187,2024,25,CLE,AL,12,8,.600,20,3.47,31,31,0,0,0,173.2,150,70,67,22,44,0,187,8,0,2,710,116,3.56,1.117,7.8,1.1,2.3,9.7,4.25,1,bibeeta01
18,Brandon Pfaadt,185,2024,25,ARI,NL,11,10,.524,21,4.71,32,32,0,0,0,181.2,183,103,95,24,42,1,185,4,0,1,760,89,3.61,1.239,9.1,1.2,2.1,9.2,4.40,1,pfaadbr01
19,Sean Manaea,184,2024,32,NYM,NL,12,6,.667,18,3.47,32,32,0,0,0,181.2,134,75,70,21,63,0,184,9,0,4,738,114,3.83,1.084,6.6,1.0,3.1,9.1,2.92,1,manaese01
20,Corbin Burnes,181,2024,29,BAL,AL,15,9,.625,24,2.92,32,32,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,133,3.55,1.096,7.6,1.0,2.2,8.4,3.77,1,burneco01
21,MacKenzie Gore,181,2024,25,WSN,NL,10,12,.455,22,3.90,32,32,0,0,0,166.1,171,93,72,15,65,0,181,11,0,14,731,104,3.53,1.419,9.3,0.8,3.5,9.8,2.78,1,gorema01
